Sex,Pclass,SibSp,Parch,Alone,Embarked,Age,Ticket,Fare,Survived
1,3,1,0,1,2,22.0,21171,7.25,0
0,1,1,0,1,0,38.0,17599,71.2833,1
0,3,0,0,0,2,26.0,3101282,7.925,1
0,1,1,0,1,2,35.0,113803,53.1,1
1,3,0,0,0,2,35.0,373450,8.05,0
1,3,0,0,0,1,26.507588932806325,330877,8.4583,0
1,1,0,0,0,2,54.0,17463,51.8625,0
1,3,3,1,1,2,2.0,349909,21.075,0
0,3,0,2,1,2,27.0,347742,11.1333,1
0,2,1,0,1,0,14.0,237736,30.0708,1
0,3,1,1,1,2,4.0,9549,16.7,1
0,1,0,0,0,2,58.0,113783,26.55,1
1,3,0,0,0,2,20.0,2151,8.05,0
1,3,1,5,1,2,39.0,347082,31.275,0
0,3,0,0,0,2,14.0,350406,7.8542,0
0,2,0,0,0,2,55.0,248706,16.0,1
1,3,4,1,1,1,2.0,382652,29.125,0
1,2,0,0,0,2,30.74070707070707,244373,13.0,1
0,3,1,0,1,2,31.0,345763,18.0,0
0,3,0,0,0,0,21.75,2649,7.225,1
1,2,0,0,0,2,35.0,239865,26.0,0
1,2,0,0,0,2,34.0,248698,13.0,1
0,3,0,0,0,1,15.0,330923,8.0292,1
1,1,0,0,0,2,28.0,113788,35.5,1
0,3,3,1,1,2,8.0,349909,21.075,0
0,3,1,5,1,2,38.0,347077,31.3875,1
1,3,0,0,0,0,26.507588932806325,2631,7.225,0
1,1,3,2,1,2,19.0,19950,263.0,0
0,3,0,0,0,1,21.75,330959,7.8792,1
1,3,0,0,0,2,26.507588932806325,349216,7.8958,0
1,1,0,0,0,0,40.0,17601,27.7208,0
0,1,1,0,1,0,34.61176470588235,17569,146.5208,1
0,3,0,0,0,1,21.75,335677,7.75,1
1,2,0,0,0,2,66.0,24579,10.5,0
1,1,1,0,1,0,28.0,17604,82.1708,0
1,1,1,0,1,2,42.0,113789,52.0,0
1,3,0,0,0,0,26.507588932806325,2677,7.2292,1
1,3,0,0,0,2,21.0,2152,8.05,0
0,3,2,0,1,2,18.0,345764,18.0,0
0,3,1,0,1,0,14.0,2651,11.2417,1
0,3,1,0,1,2,40.0,7546,9.475,0
0,2,1,0,1,2,27.0,11668,21.0,0
1,3,0,0,0,0,26.507588932806325,349253,7.8958,0
0,2,1,2,1,0,3.0,2123,41.5792,1
0,3,0,0,0,1,19.0,330958,7.8792,1
1,3,0,0,0,2,26.507588932806325,23567,8.05,0
1,3,1,0,1,1,26.507588932806325,370371,15.5,0
0,3,0,0,0,1,21.75,14311,7.75,1
1,3,2,0,1,0,26.507588932806325,2662,21.6792,0
0,3,1,0,1,2,18.0,349237,17.8,0
1,3,4,1,1,2,7.0,3101295,39.6875,0
1,3,0,0,0,2,21.0,39886,7.8,0
0,1,1,0,1,0,49.0,17572,76.7292,1
0,2,1,0,1,2,29.0,2926,26.0,1
1,1,0,1,1,0,65.0,113509,61.9792,0
1,1,0,0,0,2,41.28138613861386,19947,35.5,1
0,2,0,0,0,2,21.0,31026,10.5,1
1,3,0,0,0,0,28.5,2697,7.2292,0
0,2,1,2,1,2,5.0,34651,27.75,1
1,3,5,2,1,2,11.0,2144,46.9,0
1,3,0,0,0,0,22.0,2669,7.2292,0
0,1,0,0,0,2,38.0,113572,80.0,1
1,1,1,0,1,2,45.0,36973,83.475,0
1,3,3,2,1,2,4.0,347088,27.9,0
1,1,0,0,0,0,41.28138613861386,17605,27.7208,0
1,3,1,1,1,0,26.507588932806325,2661,15.2458,1
0,2,0,0,0,2,29.0,29395,10.5,1
1,3,0,0,0,2,19.0,3464,8.1583,0
0,3,4,2,1,2,17.0,3101281,7.925,1
1,3,2,0,1,2,26.0,315151,8.6625,0
1,2,0,0,0,2,32.0,33111,10.5,0
0,3,5,2,1,2,16.0,2144,46.9,0
1,2,0,0,0,2,21.0,14879,73.5,0
1,3,1,0,1,0,26.0,2680,14.4542,0
1,3,0,0,0,2,32.0,1601,56.4958,1
1,3,0,0,0,2,25.0,348123,7.65,0
1,3,0,0,0,2,26.507588932806325,349208,7.8958,0
1,3,0,0,0,2,26.507588932806325,374746,8.05,0
1,2,0,2,1,2,0.83,248738,29.0,1
0,3,0,0,0,2,30.0,364516,12.475,1
1,3,0,0,0,2,22.0,345767,9.0,0
1,3,0,0,0,2,29.0,345779,9.5,1
0,3,0,0,0,1,21.75,330932,7.7875,1
1,1,0,0,0,2,28.0,113059,47.1,0
0,2,0,0,0,2,17.0,14885,10.5,1
0,3,3,0,1,2,33.0,3101278,15.85,1
1,3,1,3,1,2,16.0,6608,34.375,0
1,3,0,0,0,2,26.507588932806325,392086,8.05,0
0,1,3,2,1,2,23.0,19950,263.0,1
1,3,0,0,0,2,24.0,343275,8.05,0
1,3,0,0,0,2,29.0,343276,8.05,0
1,3,0,0,0,2,20.0,347466,7.8542,0
1,1,1,0,1,2,46.0,5734,61.175,0
1,3,1,2,1,2,26.0,2315,20.575,0
1,3,0,0,0,2,59.0,364500,7.25,0
1,3,0,0,0,2,26.507588932806325,374910,8.05,0
1,1,0,0,0,0,71.0,17754,34.6542,0
1,1,0,1,1,0,23.0,17759,63.3583,1
0,2,0,1,1,2,34.0,231919,23.0,1
1,2,1,0,1,2,34.0,244367,26.0,0
0,3,0,0,0,2,28.0,349245,7.8958,0
1,3,0,0,0,2,26.507588932806325,349215,7.8958,0
1,1,0,1,1,2,21.0,35281,77.2875,0
1,3,0,0,0,2,33.0,7540,8.6542,0
1,3,2,0,1,2,37.0,3101276,7.925,0
1,3,0,0,0,2,28.0,349207,7.8958,0
0,3,0,0,0,2,21.0,343120,7.65,1
1,3,0,0,0,2,26.507588932806325,312991,7.775,1
1,3,0,0,0,2,38.0,349249,7.8958,0
0,3,1,0,1,1,21.75,371110,24.15,1
1,1,0,0,0,2,47.0,110465,52.0,0
0,3,1,0,1,0,14.5,2665,14.4542,0
1,3,0,0,0,2,22.0,324669,8.05,0
0,3,1,0,1,2,20.0,4136,9.825,0
